English	Italiano
Earlwood Farmlands Roadside Camp	Campo sulla Strada delle Terre Coltivate di Earlwood
Earlwood Feast	Banchetto di Earlwood
Earlwood Fence	Recinto di Earlwood
Earlwood Fence Gate	Cancello di Earlwood
Earlwood Forest East	Foresta di Earlwood Est
Earlwood Forge	Fucina di Earlwood
Earlwood Hearth	Focolare di Earlwood
Earlwood Pot Plant	Pianta in Vaso di Earlwood
Earlwood Quarry	Cava di Earlwood
Earlwood Road Waygate	Varco della Strada di Earlwood
Earlwood South Waygate	Varco Sud di Earlwood
Earlwood Training Dummy	Manichino da Allenamento di Earlwood
Earlwood Village	Villaggio di Earlwood
Earlwood Village South	Villaggio di Earlwood Sud
Earlwood Wall	Mura di Earlwood
Earlwood Wall Banner	Stendardo da Muro di Earlwood
Earth	Terra
Earth Shattering	spaccaterra
Earthshaker	Scuotiterra
Earthshaker\n	Scuotiterra\n
Eastern Forest Grove	Boschetto della Foresta Orientale
Easy	Facile
Echo	Eco
Echo Rift	Fenditura d'eco
Echo Shade	Ombra d'Eco
Echo Weaver	Tessitore d'Eco
Echoed	Riecheggiato
Echoed Focus	Concentrazione Riecheggiata
Echoes Of Ice	Echi di Ghiaccio
Echoes of Ice	Echi di Ghiaccio
Echoes of Mutilation	Echi di mutilazione
Echoes Of Mutilation	Echi di Mutilazione
Echoing	Echeggiante
Edit Name	Modifica nome
Edit Player Limit	Modifica limite giocatori
Effect	Effetto
Eight	Otto
Elaria	Elaria
elder tree	albero antico
elder-tree sap	linfa dell'albero antico
Eldorian	Eldorian
Electricity	Elettricità
Electricity Damage	Danno da elettricità
Electricity Damage:	Danno da elettricità:
Electricity Piercing	Penetrazione da elettricità
Electricity Piercing:	Penetrazione da elettricità:
Electricity Resistance	Resistenza all'elettricità
Electricity Resistance:	Resistenza all'elettricità:
Elemental Ranger	Ranger Elementale
Elemental Ranger\n	Ranger Elementale\n
Elf	Elfo
Elf Final Attack	Attacco Finale dell'Elfo
Elf Melee Attack	Attacco in Mischia dell'Elfo
Elixir of Rebirth	Elisir della Rinascita
Elven	Elfico
Elven Imperial era	era imperiale elfica
Elven Purge	Purga Elfica
Elven Tablet	Tavoletta Elfica
Elvish Velocity	Velocità Elfica
Ember Cascade	Cascata di Brace
Ember Hound	Cane di Brace
Emberbless Soup	Zuppa Benedetta dalla Brace
Emberbloom	Emberbloom
Emberbloom Plot	Appezzamento di Emberbloom
Emberbloom Seed	Seme di Emberbloom
Emberlash	Sferzata di Brace
Emerging Friend	Amicizia Nascente
Emissaries	Emissari
Emissary	Emissario
Emoji Wheel	Ruota delle emoji
Emote	Espressione
Emotes	Espressioni
Empower Ally	Potenzia Alleato
Empower Wolf	Potenzia Lupo
Empowered Bracer	Bracciale Potenziato
Empowered Monsters	Mostri potenziati
Empowered Rune	Runa Potenziata
Empty	Vuoto
Empty Plot	Appezzamento Vuoto
Empty Seat	Posto libero
Empty Servers	Server vuoti
Empty the pet's inventory before unequipping.	Svuota l'inventario del compagno prima di rimuoverlo.
Enable Chat	Attiva la chat
Enable Steam Deck Back Grip Buttons	Attiva i tasti posteriori di Steam Deck
enchanted soil	terra incantata
enchanted spindle	fuso incantato
Encounters reset	Scontri azzerati
Encumbrance	Ingombro
Encumbrance Bonus	Bonus ingombro
Encumbrance:	Ingombro:
Enduring	Resistente
Energy	Energia
Energy:	Energia:
Enflamed	Infiammato
Engraved Rune	Runa Incisa
Enhanced Amulet	Amuleto Migliorato
Enlarge	Ingrandimento
Enraging	Infuriante
Enraging Parry	Parata Infuriante
Entangling Roots	Radici Avviluppanti
Enter Character Name	Inserisci il nome del personaggio
Enter Code...	Inserisci il codice...
Enter Key...	Premi un tasto...
Enter Password	Inserisci la password
enter server name	inserisci il nome del server
Enter text...	Inserisci testo...
Enter World Name	Inserisci il nome del mondo
Envenoming	Avvelenante
Environment Movement	Movimento dell'ambiente
Equip	Equipaggia
Equip Consumables to your Hotbar with	Assegna i consumabili alla barra rapida con
Equip Gear to its Equipment Slot with	Equipaggia l'attrezzatura nel suo slot con
Equipment	Equipaggiamento
Equipment and pets can't be used at this station.	Equipaggiamento e compagni non si possono usare a questa postazione.
Equipment panel	Pannello equipaggiamento
Equipment Sets	Set di equipaggiamento
Equipment Upgrade Overview	Riepilogo dei miglioramenti
Equipped	Equipaggiato
Erupt	Eruzione
Erupting	Eruttante
Eternal Forest	Foresta Eterna
Ether	Etere
Ether Damage	Danno da etere
Ether Damage:	Danno da etere:
Ether Piercing	Penetrazione da etere
Ether Piercing:	Penetrazione da etere:
Ether Resistance	Resistenza all'etere
Ether Resistance:	Resistenza all'etere:
Events	Eventi
Everburn Mortar	Mortaio Eternofuoco
Everlast trees	alberi Everlast
Everyone	Tutti
Everyone must leave the area before this deed can be taken	Tutti devono lasciare l'area prima di accettare questo incarico
Exclusive with	Esclusivo con
Exile Of Xwin	Esule di Xwin
Exit	Esci
Experience points earned.	Punti esperienza guadagnati.
Experience points needed for next level.	Punti esperienza necessari per il livello successivo.
Exploration	Esplorazione
Explosive Flask	Fiasca Esplosiva
Facility Center	Centro Servizi
Facility Upgraded	Struttura migliorata
Faded Rune	Runa Sbiadita
Fairweather	Fairweather
Fairy	Fata
Fairy Invulnerable	Fata Invulnerabile
Fangra	Fangra
Fangra Cub	Cucciolo di Fangra
Farming	Agricoltura
Farmlands East	Terre coltivate Est
Farmlands North	Terre Coltivate Nord
Farmlands Old Camp	Vecchio Campo delle Terre Coltivate
Farmlands Road	Strada delle terre coltivate
Farmlands South	Terre Coltivate Sud
Farmlands West	Terre coltivate Ovest
Fated Paramour	Amante del Destino
Faustas	Faustas
Faustas's Rest	Riposo di Faustas
Faustas's Tower	Torre di Faustas
Female	Femmina
Fence	Recinto
Fence Gate	Cancello
Fences	Recinti
Fencing from Basilton's Garden.	Recinzione dal Giardino di Basilton.
Fencing from Earlwood.	Recinzione di Earlwood.
Fencing from Heart Oak.	Recinzione in Quercia del Cuore.
Fencing from quarried stone.	Recinzione in pietra di cava.
Feralbond	Vincolo Ferino
fertiliser	fertilizzante
Fervent Lover	Amante Fervente
Festering Wounds	Ferite Purulente
Fill Sustenance	Riempi il sostentamento
Fill Vitals	Riempi i vitali
Filter	Filtro
Filter Menu	Menu dei filtri
Filter:	Filtro:
Filters	Filtri
Final Attack	Attacco finale
Find Map Crystals to fill in your Map.	Trova i cristalli di mappa per completarla.
Finishing Edge	Filo Finale
Fire	Fuoco
Fire Aura	Aura di Fuoco
Fire Damage	Danno da fuoco
Fire Damage:	Danno da fuoco:
Fire Piercing	Penetrazione da fuoco
Fire Piercing:	Penetrazione da fuoco:
Fire Resistance	Resistenza al fuoco
Fire Resistance:	Resistenza al fuoco:
Fireball	Palla di fuoco
Fireburst	Scoppio di Fuoco
fish-scarecrows	spaventapasseri a forma di pesce
Fishing Rod	Canna da pesca
Five	Cinque
Flamebound Charge	Carica Infuocata
Flamecaller	Evocafiamme
Flamecaller Pit	Fossa dell'Evocafiamme
Flamefeed Frenzy	Frenesia Nutrifiamma
Flaming	Fiammeggiante
Flaming Oil	Olio Fiammeggiante
Flaming Oil Coating	Rivestimento di Olio Fiammeggiante
Flaming Strike	Colpo Fiammeggiante
Flaring	Fiammeggiante
Flashheating	Incandescente
Flax Gloves	Guanti di Lino
Flax Rope	Corda di Lino
Flax Seed	Seme di Lino
Floral Flourish	Fioritura Floreale
Flowers and Acorns	Fiori e ghiande
Focused	Focalizzato
Focused Assault	Assalto Focalizzato
Fold	Passa
Followers [{0}/{1}]	Seguaci [{0}/{1}]
Food	Cibo
for	per
for the power of the emoji	per il potere delle emoji
Ford of Garfael	Guado di Garfael
Forest	Foresta
Forest Depths Waypoint	Punto di passaggio delle Profondità della Foresta
Forest Entrance	Ingresso della Foresta
forest gate	accesso alla foresta
Forest Golem	Golem della Foresta
Forest Heart	Cuore della Foresta
Forest Heart Bramble Fan	Ventaglio di Spine del Cuore della Foresta
Forest Heart Heartbound Tether	Legame del Cuore della Foresta
Forest Heart Manager	Gestore del Cuore della Foresta
Forest Heart Resin Geyser	Geyser di Resina del Cuore della Foresta
Forest Heart Sap Bloom	Fioritura di Linfa del Cuore della Foresta
forest kin	gente della foresta
Forest King	Re della Foresta
Forest King Fur	Pelliccia del Re della Foresta
Forest King Tine	Punta di Corno del Re della Foresta
Forest Meet	Raduno della Foresta
Forest Path Overlook	Belvedere del Sentiero della Foresta
Forest Path Start	Inizio del Sentiero della Foresta
Forest's Edge	Margini della Foresta
forest-kin	gente della foresta
Forestlinked	Legato alla Foresta
Forests Edge Homestead	Fattoria ai Margini della Foresta
Forest’s Edge	Margini della Foresta
Forge	Fucina
Forge Anvil	Incudine della Fucina
forge master	maestro fabbro
Formidable Foe Slain	Nemico formidabile ucciso
Fortified Undercoat	Sottoveste Fortificata
forward camp	campo avanzato
Foundation	Fondazione
Four	Quattro
Fracturing	Fratturante
Frame Rate	Frequenza dei fotogrammi
Frames	Fotogrammi
Frayed Cloth	Stoffa Logora
Frayed Rug	Tappeto Logoro
free point	punto gratuito
Freestanding light for paths and yards.	Una luce autoportante per sentieri e cortili.
Frenzied Slashes	Tagli Frenetici
Frenzy	Frenesia
Fried Chicken Egg	Uovo Fritto
Friendly Fire	Fuoco amico
Friendly fire	fuoco amico
Friends Online	Amici online
Friends Only	Solo amici
Frost	Gelo
Frost Forged Might	Possanza Forgiata dal Gelo
Frost Glide	Scivolata gelida
Frost Javelin	Giavellotto gelido
Frost Owl	Civetta Gelida
Frostbite Focus	Concentrazione del Congelamento
Frostborne Daggers	Pugnali Nati dal Gelo
Frostbound	Vincolo gelido
Frostbound Potion	Pozione del Vincolo Gelido
Frosted	Gelido
Frosted Oil	Olio Gelido
Frosted Oil Coating	Rivestimento di Olio Gelido
Frostquake	Sisma Gelido
Frostshock	Scossa Gelida
Frostward	Guardia Gelida
Frozen Strike	Colpo Congelato
Full Health	Salute massima
Full Screen	Schermo intero
Full Servers	Server pieni
Fur	Pelliccia
Furious Strike	Colpo furioso
Furniture	Mobilio
Gameplay Settings	Impostazioni di gioco
Gargoyle	Gargoyle
Gear	Attrezzatura
Gemini	Gemini
Gender	Genere
General	Generale
Giant Old One's Egg	Uovo dell'Antico Gigante
Giant's Trench	Trincea del Gigante
Gilded Band	Anello Dorato
Glacial Drag	Trascinamento Glaciale
Glass Vial	Fiala di Vetro
Glide	Scivolata
Glimmerflax	Glimmerflax
Gloom Stalker	Cacciatore dell'Ombra
Gloomfang	Zanna Tenebrosa
Gloves	Guanti
Goblin	Goblin
Goblin Basher	Goblin Picchiatore
Goblin Basher Empowered	Goblin Picchiatore potenziato
Goblin Basher T2	Goblin Picchiatore T2
Goblin Caller	Evocatore di Goblin
Goblin Cave Entrance	Ingresso della Caverna dei Goblin
Goblin Cave Mouth	Imbocco della Caverna dei Goblin
Goblin Caves	Caverne dei Goblin
Goblin Charge	Carica Goblin
Goblin Crisis	Crisi dei Goblin
Goblin Devour Runner	Goblin Corridore Divoratore
Goblin Flaskrat	Goblin Flaskrat
Goblin Flaskrat Empowered	Goblin Flaskrat potenziato
Goblin Flaskrat T2	Goblin Flaskrat T2
Goblin Flaskrat T2Empowered	Goblin Flaskrat T2 potenziato
Goblin Friend	Amico dei Goblin
Goblin King	Re Goblin
Goblin King Head	Testa del Re Goblin
Goblin King Trophy	Trofeo del Re Goblin
Goblin Ripper	Goblin Squartatore
Goblin Ripper Empowered	Goblin Squartatore potenziato
Goblin Ripper T2	Goblin Squartatore T2
Goblin Ripper T2Empowered	Goblin Squartatore T2 potenziato
Goblin Tooth	Dente di Goblin
Goblin Toss	Lancio di Goblin
Goblins	Goblin
Gobo Charge	Carica Gobo
God Mode Deer	Cervo God Mode
Gold	Oro
Gold:	Oro:
Golem	Golem
Golems Garden	Giardino dei Golem
Gorehorn	Corno Cruento
Gorewraith Ambush	Imboscata dello Spettro Cruento
Gorilla	Gorilla
Gotburg Fire	Fuoco di Gotburg
Gotburg The Burned	Gotburg l'Ustionato
Grass Patch	Zona d'Erba
Graveveil	Velo Sepolcrale
Great Academy of Aldoria	Grande Accademia di Aldoria
Great Iniquities	Grandi Iniquità
Green Knight	Cavaliere Verde
Griffon	Grifone
Grim trophy from a corrupted Treant.	Un cupo trofeo ricavato da un Treant corrotto.
Grimhollow Pines	Pini di Grimhollow
Ground Cover	Copertura del terreno
Ground Decor	Decorazioni del terreno
Grove Guardian	Guardiana del Boschetto
Guard	Guardia
Guard Efficiency	Efficienza della guardia
Guardstep	Passo Guardiano
Guild	Gilda
Guild Hall	Sede della Gilda
Guild Mentor	Mentore della Gilda
Guild Shop	Negozio della Gilda
Gust	Raffica
Gusting	Raffica
Hail	Grandine
Hail Of Arrows	Pioggia di Frecce
Hair	Capelli
Hand Rankings	Punteggi delle mani
Hard	Difficile
Hardcore	Hardcore
Harpy	Arpia
Harvest Tool	Strumento di raccolta
Harvesting	Mietente
Haste	Celerità
Hasty	Affrettato
Haylor	Haylor
Haylor's Mill	Mulino di Haylor
Haylors	Haylor
Haymaker	Colpo Demolitore
Header	Intestazione
Heal	Cura
Healing Power	Potere curativo
Health	Salute
Health Potion	Pozione di salute
Health Regen	Rigen. salute
Health:	Salute:
Heart Oak	Quercia del Cuore
Heart Oak Bed	Letto di Quercia del Cuore
Heart Oak Doorway	Vano di Porta di Quercia del Cuore
Heart Oak Fence	Recinto di Quercia del Cuore
Heart Oak Fence Gate	Cancello di Quercia del Cuore
Heart Oak Log	Tronco di Quercia del Cuore
Heart Oak Mill	Mulino di Quercia del Cuore
Heart Oak Planks	Tavole di Quercia del Cuore
Heartbound Tether	Legame del Cuore
Heartwood Chest	Cassa in Durame
Heartwood Door	Porta in Durame
Heartwood Door Frame	Telaio in Durame
Heartwood Floor	Pavimento in Durame
Heartwood Foundation	Fondazione in Durame
Heartwood Pillar	Pilastro in Durame
Heartwood Table	Tavolo in Durame
Heartwood Wall	Muro in Durame
Hearty	Vigoroso
Heavy Strike	Colpo Pesante
Heimen	Heimen
Heimen's Camp	Campo di Heimen
Heimen's Music Box	Carillon di Heimen
Heimen's Shop	Negozio di Heimen
Heroic	Eroico
Heroic Emblem	Emblema Eroico
Hidden Grove	Boschetto Nascosto
Hide	Nascondi
Hide Filters	Nascondi i filtri
Hide Item Tooltips	Nascondi descrizioni oggetti
Hide Player Names	Nascondi i nomi dei giocatori
Hide Walls Off	Non nascondere i muri
High	Alto
High Priestess Althaea Of The Tirathlan	Somma Sacerdotessa Althaea del Tirathlan
Hoard King	Re del Tesoro
Hoard King Tooth	Dente del Re del Tesoro
Hold	Tieni premuto
Hold Cast	Mantieni il lancio
Hold for Salvage Mode	Tieni premuto per la modalità recupero
Hold to build	Tieni premuto per costruire
hold to craft	tieni premuto per creare
Hold to Reset Bindings	Tieni premuto per azzerare i comandi
Hold to Sprint	Tieni premuto per scattare
Hook	Gancio
Hopeful Shepherd	Pastore fiducioso
HornedVanguard	AvanguardiaCornuta
Horns	Corna
Host	Ospite
Hound	Cane
Hour:	Ora:
Hours	Ore
How To Play	Come si gioca
Howl	Ululato
HP	HP
HP Percent	HP %
HP Percent:	HP %:
Human	Umano
Human Melee Attack	Attacco in Mischia dell'Umano
Hunger	Fame
Hunt	Caccia
Hunter	Cacciatore
Hunter's Stew	Stufato del Cacciatore
Hunter's Trap	Trappola del Cacciatore
I have done that	L'ho fatto
I have not done that	Non l'ho fatto
Ice	Ghiaccio
Ice Damage	Danno da ghiaccio
Ice Damage:	Danno da ghiaccio:
Ice Piercing	Penetrazione da ghiaccio
Ice Piercing:	Penetrazione da ghiaccio:
Ice Pool	Pozza di ghiaccio
Ice Pools	Pozze di ghiaccio
Ice Resistance	Resistenza al ghiaccio
Ice Resistance:	Resistenza al ghiaccio:
Icon of Encumbrance	Icona dell'ingombro
Ideological Paragon	Modello Ideologico
Ideological Spark	Scintilla Ideologica
If you don't, your maximum <color=#FFDA00>Health,</color> 	Altrimenti la tua <color=#FFDA00>salute</color> massima, 
Imbued Charm	Ciondolo Imbevuto
Imperial Son	Figlio Imperiale
In game	In gioco
In menu	Nel menu
IN PROGRESS	IN CORSO
In-Game Menu	Menu di gioco
In-Game Navigation	Navigazione in gioco
inactive	inattivo
incompatible difficulty level	livello di difficoltà incompatibile
Incorrect password	Password errata
Incorrect Quantity	Quantità errata
Increase	Aumento
Increase attack speed	Aumenta la velocità d'attacco
Increase movement speed	Aumenta la velocità di movimento
Increase/Decrease	Aumenta/Diminuisci
Increases all Blunt Damage you deal by a percentage.	Aumenta di una percentuale tutto il danno contundente che infliggi.
Increases all Decay Damage you deal by a percentage.	Aumenta di una percentuale tutto il danno da decadimento che infliggi.
Increases all Electricity Damage you deal by a percentage.	Aumenta di una percentuale tutto il danno da elettricità che infliggi.
Increases all Ether Damage you deal by a percentage.	Aumenta di una percentuale tutto il danno da etere che infliggi.
Increases all Fire Damage you deal by a percentage.	Aumenta di una percentuale tutto il danno da fuoco che infliggi.
Increases all Ice Damage you deal by a percentage.	Aumenta di una percentuale tutto il danno da ghiaccio che infliggi.
Increases all Strike Damage you deal by a percentage.	Aumenta di una percentuale tutto il danno da taglio che infliggi.
Increases all Thrust Damage you deal by a percentage.	Aumenta di una percentuale tutto il danno perforante che infliggi.
Increases how much Health you recover over time.	Aumenta la salute che recuperi nel tempo.
Increases how much Stamina you recover over time.	Aumenta il vigore che recuperi nel tempo.
Increases Ice Resistance	Aumenta la resistenza al ghiaccio
Increases maximum Health and Health regeneration.	Aumenta la salute massima e la sua rigenerazione.
Increases Physical Power and Magic Power.	Aumenta il potere fisico e il potere magico.
Increases the bonus damage dealt by critical hits.	Aumenta il danno aggiuntivo dei colpi critici.
Increases the damage dealt by Bleeding.	Aumenta il danno inflitto dal sanguinamento.
Increases the damage dealt by Burning.	Aumenta il danno inflitto dall'ustione.
Increases the damage dealt by Poison.	Aumenta il danno inflitto dal veleno.
Increases the duration of Bleeding stacks.	Aumenta la durata delle cariche di sanguinamento.
Increases the duration of Burning stacks.	Aumenta la durata delle cariche di ustione.
Increases the duration of Chill stacks.	Aumenta la durata delle cariche di gelo.
Increases the duration of Poison stacks.	Aumenta la durata delle cariche di veleno.
Increases the duration of Rage stacks.	Aumenta la durata delle cariche di furia.
Increases the maximum Bleeding stacks you can apply.	Aumenta le cariche massime di sanguinamento che puoi applicare.
Increases the maximum Burning stacks you can apply.	Aumenta le cariche massime di ustione che puoi applicare.
Increases the maximum Chill stacks you can apply.	Aumenta le cariche massime di gelo che puoi applicare.
Increases the maximum Poison stacks you can apply.	Aumenta le cariche massime di veleno che puoi applicare.
Increases the maximum Rage stacks you can gain.	Aumenta le cariche massime di furia che puoi accumulare.
Increases the maximum Shock stacks you can apply.	Aumenta le cariche massime di scossa che puoi applicare.
Increases the slow applied by Chill.	Aumenta il rallentamento applicato dal gelo.
Increases the Stun Build-up your attacks and effects deal.	Aumenta l'accumulo di stordimento dei tuoi attacchi ed effetti.
Increases your Armor by a percentage.	Aumenta la tua armatura di una percentuale.
Increases your base Concentration by a percentage.	Aumenta la tua concentrazione base di una percentuale.
Increases your base Health by a percentage.	Aumenta la tua salute base di una percentuale.
Increases your base Stamina by a percentage.	Aumenta il tuo vigore base di una percentuale.
Increases your chance to land a critical hit.	Aumenta la probabilità di mettere a segno un colpo critico.
Increases your critical hit chance against Bleeding targets.	Aumenta la probabilità di critico contro bersagli sanguinanti.
Increases your critical hit chance against Burning targets.	Aumenta la probabilità di critico contro bersagli ustionati.
Increases your critical hit chance against Chilled targets.	Aumenta la probabilità di critico contro bersagli assiderati.
Increases your critical hit chance against Poisoned targets.	Aumenta la probabilità di critico contro bersagli avvelenati.
Increases your critical hit chance against Stunned targets.	Aumenta la probabilità di critico contro bersagli storditi.
Increases your critical hit damage against Bleeding targets.	Aumenta il danno critico contro bersagli sanguinanti.
Increases your critical hit damage against Burning targets.	Aumenta il danno critico contro bersagli ustionati.
Increases your critical hit damage against Chilled targets.	Aumenta il danno critico contro bersagli assiderati.
Increases your critical hit damage against Poisoned targets.	Aumenta il danno critico contro bersagli avvelenati.
Increases your critical hit damage against Stunned targets.	Aumenta il danno critico contro bersagli storditi.
Increases your maximum Health.	Aumenta la tua salute massima.
Increases your maximum Stamina.	Aumenta il tuo vigore massimo.
Increases your Movement Speed.	Aumenta la tua velocità di movimento.
Increases your Resistance by a percentage.	Aumenta la tua resistenza di una percentuale.
Indoor cooking station with steady heat. Cooks hearty meals.	Postazione di cucina al chiuso a calore costante. Prepara pasti sostanziosi.
Indulgence	Indulgenza
Infection Scent	Odore d'Infezione
Infectious Cleaver	Mannaia Infettiva
Infectious Swarm	Sciame Infettivo
Ingredients	Ingredienti
Iniquities	Iniquità
Iniquity	Iniquità
Inoculating	Inoculante
Inoculation	Inoculazione
Inoculation Potion	Pozione di Inoculazione
Input	Input
Inspect	Esamina
Insufficient ingredient quantity!	Quantità di ingredienti insufficiente!
Intelligence	Intelligenza
Intelligence:	Intelligenza:
Interact	Interagisci
Interrupting	Interruzione
Invalid action	Azione non valida
Invalid pet data	Dati del compagno non validi
Inventory	Inventario
Inventory full, dropping rune on the ground	Inventario pieno, la runa cade a terra
Inventory is full	Inventario pieno
Invincible Shield	Scudo Invincibile
Invite sent to: {0}	Invito inviato a: {0}
Invite-Only	Solo su invito
Invulnerability	Invulnerabilità
Iron	Ferro
Ironfist	Pugno di Ferro
It must be night to sleep	Devi aspettare la notte per dormire
Item	Oggetto
Item is already equipped	Oggetto già equipaggiato
Item Menu	Menu oggetti
Item menu	Menu oggetti
Item Slot 1	Slot oggetto 1
Item Slot 2	Slot oggetto 2
Item Slot 3	Slot oggetto 3
Item Slot 4	Slot oggetto 4
Item:	Oggetto:
Jack	Jack
Javelin	Giavellotto
JJ Fish	JJ Fish
Join	Unisciti
Join World	Entra nel mondo
Joker	Burlone
Jolt Dagger	Pugnale Folgorante
Journal	Diario
Junk Hail	Grandine di Rottami
Keeps your room closed.	Tiene chiusa la stanza.
Kindled	Ravvivato
Kindled Focus	Concentrazione Ravvivata
Kindling	Innesco
Kindling Potion	Pozione d'Innesco
Kindred Companion	Compagno Affine
Kindred Soul	Anima Affine
King	Re
King's Path	Sentiero del Re
Knockout Reserves	Riserve da Knockout
Language	Lingua
Language Selection	Selezione della lingua
Large fire bowl for bright, steady light.	Un ampio braciere per una luce intensa e costante.
Large Goblin Tooth	Dente di Goblin Grande
Large Rock A	Roccia grande A
Large Rock B	Roccia grande B
Large storage for gear and materials. Use as storage.	Ampio deposito per attrezzatura e materiali. Usalo come deposito.
Large Tent	Tenda Grande
Laughing Slashes	Tagli Beffardi
Layered Undercoat	Sottoveste a Strati
Leads to the	Conduce a
Learned	Appreso
Leave	Esci
Leave Conversation	Termina la conversazione
Leave Party	Lascia il gruppo
Legacy Camera (Dev)	Telecamera classica (Dev)
Legendary Foe Slain	Nemico leggendario ucciso
Lesser Concent	Concentr. minore
Lesser Concentration Potion	Pozione Minore di Concentrazione
Lesser Concentration Throwflask	Fiasca da Lancio Minore di Concentrazione
Lesser Health Potion	Pozione Minore di Salute
Lesser Health Throwflask	Fiasca da Lancio Minore di Salute
Lesser Stamina Potion	Pozione Minore di Vigore
Lesser Stamina Throwflask	Fiasca da Lancio Minore di Vigore
Level	Livello
level {0}	livello {0}
Level {0}	Livello {0}
Level {0} (Max)	Livello {0} (Max)
Level:	Livello:
ley lines	linee di forza
Lifebloom	Fiore della Vita
Light	Chiaro
Light Bandages	Bende Leggere
Lightning Surge	Ondata Fulminea
Lightweight	Leggero
Limitless Onslaught	Assalto illimitato
Linen	Lino
Linen Gloves	Guanti di Tela
Linen Rug	Tappeto di Lino
Lionspear	Lancia del Leone
Lionsurge	Ondata del Leone
Loading...	Caricamento...
Lobby browser unavailable in direct connect mode.	Elenco lobby non disponibile in connessione diretta.
Lobby Options	Opzioni della lobby
Lobby Type	Tipo di lobby
Location	Posizione
Lock Buildings to Owner	Blocca le costruzioni al proprietario
Lock Camera to Player	Blocca la telecamera sul giocatore
Locked	Bloccato
Log A	Tronco A
Log B	Tronco B
Log C	Tronco C
Loose Stone	Pietra smossa
Lost Archeologist Campfire	Falò dell'Archeologo Perduto
Lost Archeologist Tent	Tenda dell'Archeologo Perduto
Lost Boy	Bambino smarrito
Lost Caverns	Caverne Perdute
Lost Caverns East	Caverne Perdute Est
Lost Caverns West	Caverne Perdute Ovest
Lost Guardian	Guardiano Perduto
Low	Basso
Low seat carved from Treant wood. Still twitches with life.	Un sedile basso intagliato nel legno di Treant. Freme ancora di vita.
Loyal Companion	Compagno Leale
Lumen Realm	regno di Lumen
Lunar Tailstorm	Tempesta di Coda Lunare
LVL	LVL
Lvl	Lvl
Magic Barrier	Barriera magica
Magic Damage	Danno magico
Magic Damage Percent	Danno magico %
Magic Damage Percent:	Danno magico %:
Magic Damage:	Danno magico:
Magic Piercing	Penetrazione magica
Magic Piercing:	Penetrazione magica:
Magic Power	Potere magico
Magic Power Increase	Aumento del potere magico
Magician	Mago
Main Menu	Menu principale
Main Quest	Missione principale
Main Quests	Missioni principali
Male	Maschio
Mana	Mana
Manage Bans	Gestisci i bandi
Manga	Manga
Manga's Equipment	Equipaggiamento di Manga
Manga's Forge	Fucina di Manga
Many Cut Phantom	Fantasma dai Molti Tagli
Map	Mappa
Map Fragment	Frammento di mappa
Map Revealed	Mappa rivelata
Marina	Marina
Markers	Segnalini
Master Volume	Volume principale
Max Bleeding	Sanguinamento max
Max Bleeding:	Sanguinamento max:
Max Burning	Ustione max
Max Burning:	Ustione max:
Max Chill	Gelo max
Max Chill:	Gelo max:
Max Drunkenness	Ebbrezza max
Max encumbrance increased. You can carry more.	Ingombro massimo aumentato. Puoi trasportare di più.
Max Level	Livello massimo
Max Level:	Livello massimo:
Max Players	Giocatori massimi
Max Poison	Veleno max
Max Poison:	Veleno max:
Max Rage	Furia max
Max Rage:	Furia max:
Max Shock	Scossa max
Max Shock:	Scossa max:
Max XP:	XP massimi:
Mayor	Sindaco
Meditative	Meditativo
Medium	Medio
Mem	Mem
memorial wall	muro dei caduti
Memory	Memoria
Mending	Risanante
Menu Navigation	Navigazione del menu
Meteorite	Meteorite
Mill	Mulino
Minion	servitore
Minor Blood Rage Potion	Pozione Scarsa della Furia Sanguinaria
Minor Concentration Throwflask	Fiasca da Lancio Scarsa di Concentrazione
Minor Health Throwflask	Fiasca da Lancio Scarsa di Salute
Minotaur	Minotauro
Minotaur Attack	Attacco del Minotauro
Minotaur Empire	Impero dei Minotauri
Minotaur Magic	Magia del Minotauro
Mirkea	Mirkea
Missing attribute requirements: {0}	Requisiti di attributo mancanti: {0}
Moderate	Moderato
Modest Band	Anello Modesto
Modifiers	Modificatori
Momentum	Slancio
Monkey	Scimmia
Monster	Mostro
Monster Dash Basic	Scatto Base del Mostro
Monster Recovery	Recupero del Mostro
Monster Recovery Extended	Recupero Esteso del Mostro
Monster Recovery Long	Recupero Lungo del Mostro
Monster Recovery Medium	Recupero Medio del Mostro
Monsters reappear	I mostri ricompaiono
Monstrous Droop	Droop mostruoso
Monstrous Droop Farmlands	Droop mostruoso delle terre coltivate
Moon Cat	Gatto Lunare
Moonridge Vale	Valle di Moonridge
Moonthorn	Spina Lunare
More than 8 Players is not officially supported	Più di 8 giocatori non è ufficialmente supportato
Mortar	Mortaio
Mortar Volley	Salva di Mortaio
Mor’daneth	Mor’daneth
Mount Grandor	Monte Grandor
Mouse	Mouse
Move	Muovi
Move Down	Sposta giù
Move Item	Sposta oggetto
Move item	Sposta oggetto
Move Left	Sposta a sinistra
Move Right	Sposta a destra
Move Up	Sposta su
Move with	Muoviti con
Move: Press 	Movimento: premi 
Movement Speed	Velocità di movimento
Movement Speed:	Velocità di movimento:
Mud Fence	Recinto di Fango
Mud Fence Gate	Cancello di Fango
Multi-strike	Colpo multiplo
